Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG07ALE00000A000000S100,2024.12,2203747,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG07ALE00000A000000S100,2025.03,2213069,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG07ALE00000A000000S100,2025.06,2206013,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2025,6
SNEQ.SG07ALE00000AFA0000S100,2016.06,439112,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG07ALE00000AFA0000S100,2016.09,449873,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG07ALE00000AFA0000S100,2016.12,450267,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG07ALE00000AFA0000S100,2017.03,454884,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG07ALE00000AFA0000S100,2017.06,459573,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG07ALE00000AFA0000S100,2017.09,455891,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG07ALE00000AFA0000S100,2017.12,459730,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG07ALE00000AFA0000S100,2018.03,454300,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG07ALE00000AFA0000S100,2018.06,465038,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG07ALE00000AFA0000S100,2018.09,470800,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG07ALE00000AFA0000S100,2018.12,489023,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG07ALE00000AFA0000S100,2019.03,499675,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG07ALE00000AFA0000S100,2019.06,503629,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,6
